,ww_0_6,ww_7_10,ww_11_15,ww_16_19,ww_20_23,we_0_6,we_7_10,we_11_15,we_16_19,we_20_23,unemployed_perc,rent_social_perc,level4_perc,car_3_over_perc,young_16_34_per,102,1057,320,422,425,947
p_crime,2.604394726324344e-06,0.05186607963077439,0.0001614197746047097,1.0,0.02421639388333463,1.0,0.1217847155368168,1.0,0.005162815731871273,0.013690958959969413,4.1219672120007544e-10,0.004380037147158067,0.0009212890595322598,0.3029498795805583,0.4797498474329198,1.1495686202955824e-07,0.3016954648786818,1.6431300764452317e-14,0.056871993558137435,7.012050706745043e-05,0.0
Bicycle theft,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002857638008189056,1.9984014443252818e-15,0.13328853947977315,2.0236372045179252e-05,2.588634953060165e-07,0.9496394845264136,0.4258085520175183,1.0,1.0,0.1611167108327074
Burglary,0.41289735242727543,1.0,0.3439663475522776,1.0,0.85271412656222,0.036555297032052625,1.0,1.0,0.8421068309956301,0.2458203786780575,0.1790891723510606,1.9096759405146102e-05,4.149190102609168e-09,0.6264469574219653,0.006895214561098095,4.939491401567686e-05,0.25913937393952224,0.28192759827389,0.9452211697585029,0.18792486039626155,0.0009998117549763208
Criminal damage and arson,1.0,1.0,1.0,1.0,1.0,0.37170041904350226,0.5354999879338695,1.0,1.0,1.0,6.3730555799335065e-06,0.006343532880530134,0.3622356849200066,0.009024247775960781,0.9728301991497059,0.8476085803611373,0.012683976300680966,0.9798724732046227,0.017699420133422183,0.09305867087050612,0.2337441144768897
Robbery,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.010080010470544076,0.25183930410517386,1.0,0.015265924222956473,0.8340114748122147,1.0,0.30707405830441514,0.8767067543120279,0.01864705787716603,1.0,0.0
Shoplifting,2.9512291489730558e-05,1.0,7.102716192974867e-10,1.0,0.7305801934892164,0.11742203811739027,0.7635130311040497,1.0,2.237517896963581e-06,0.7800337895373217,0.055780132827158546,0.6142294639955526,0.07101885092167359,0.9777609427430978,0.4280937818375161,1.6608936448392342e-13,0.030616220025450724,0.0,5.605654063178811e-05,0.0,8.064573675525821e-09
Theft from the person,1.0,1.0,1.0,1.0,0.05116130140956976,0.028188097234873366,0.7712155806448884,1.0,1.0,1.0,0.33592902916118694,0.010863195808794801,1.0,0.223867007818215,4.3996373499943786e-07,0.0,0.1776657081543649,0.0,1.0,0.0004768001799115851,1.4879208976026348e-12
Vehicle crime,1.0,1.0,1.0,1.0,0.6352394583861258,0.5889597966244473,1.0,1.0,1.0,0.8612337571397242,0.0014728395191758725,0.7601846006970483,1.0,1.0,0.070611646590657,1.0,1.0,1.0,1.0,1.0,0.03664998413429421
