,ww_0_6,ww_7_10,ww_11_15,ww_16_19,ww_20_23,we_0_6,we_7_10,we_11_15,we_16_19,we_20_23,unemployed_perc,rent_social_perc,level4_perc,car_3_over_perc,young_16_34_per,102,1057,320,422,425,947
p_crime,5.377461199818079e-05,1.0,3.785208700035625e-05,0.8657775176966793,0.013938287706960928,1.0,0.00033175868308088496,1.0,0.32845236656189014,1.0,8.34931501714209e-09,0.11197255752953006,0.08627458842304425,1.0,0.06555446570941426,0.00011675405735367406,1.0,1.0,6.028915485067898e-05,0.005444374640215521,0.0
Bicycle theft,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.691619312462535e-06,0.01028928903151205,0.0008369232322695819,0.01021822046330989,0.7599788117334441,1.0,1.0,1.0,1.955144826659705e-05
Burglary,0.6111695272107145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5585885829763018,0.07189623800160638,0.001888982481576651,2.9482554175785936e-09,0.2516771776965083,0.11414950463441009,0.004627620272441568,0.5188354939789583,0.0006833917826192248,0.4322032915201641,0.017311418426741332,2.656297404257657e-11
Criminal damage and arson,1.0,1.0,0.9691206684213018,1.0,0.3330972035706594,1.0,1.0,1.0,1.0,1.0,0.05376122333592437,0.0006397133489310924,0.07517651952612936,0.1055441911791315,1.0,1.0,0.01941665685562577,1.0,0.691337653435065,3.64851860099602e-05,1.316186504829453e-05
Robbery,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27668160355705984,0.23911733335241792,1.0,0.13914811171044028,0.010941512080668625,1.0,1.0,1.0,0.01564243907251628,0.31045206181158935,6.661338147750939e-16
Shoplifting,0.0321937680268245,0.28547784368721674,1.1507331287852196e-07,0.013660927213068552,1.0,1.0,0.00021079164318305033,1.0,1.0,0.09921031263428381,0.3186826818880002,0.8675911159837746,0.11488605238774974,1.0,0.8126769064619159,5.344613640545504e-13,0.17986836376848947,0.006651650190182101,0.0,2.3848524661529424e-05,0.002057710322050932
Theft from the person,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.054812255713237334,0.6832651098808149,1.0,2.220446049250313e-15,0.19625673791322518,1.0,6.957101561511081e-12,0.2527217654409992,3.006298827656906e-07,0.0
Vehicle crime,1.0,1.0,0.5523201919856362,1.0,0.6148606243292316,1.0,1.0,0.6736065434727521,1.0,1.0,1.7767565196891155e-11,0.0002713624592585173,1.0,0.7794553128683883,0.00899459286696902,1.0,0.8406113731377598,0.6879878880554466,1.0,0.14242051500925967,0.8353878240102497
