,ww_0_6,ww_7_10,ww_11_15,ww_16_19,ww_20_23,we_0_6,we_7_10,we_11_15,we_16_19,we_20_23,unemployed_perc,rent_social_perc,level4_perc,car_3_over_perc,young_16_34_per,102,1057,320,422,425,947
p_crime,-0.8722178003032438,-0.0,1.776333487678913,0.07216250853880597,0.8060876455557889,0.0,-0.6748780847907959,-0.0,0.34114200583419485,0.0,0.2363696894527281,0.05942673429122898,0.06066827698904044,0.0,0.05897898751100713,0.22964250876344985,-0.0,-0.0,0.1381044642610887,0.09642945669666735,0.3973312463012663
Bicycle theft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027477071219201434,-0.015878431806233537,0.017949517271953694,0.025662560541496224,0.0019914448539534975,0.0,0.0,0.0,0.028547922319803038
Burglary,-0.03829413117730167,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.05784460788413633,0.025734011932481548,0.040565987409752244,0.07338270499335829,0.014759159276366098,0.01766073859342948,0.0588950676157856,0.008752566513751236,-0.05179916378653394,-0.009430342479778052,0.028818210965828314,0.09286111939246187
Criminal damage and arson,0.0,0.0,0.00518532411053602,0.0,0.09864603696390586,0.0,0.0,0.0,0.0,0.0,0.02457005181005896,0.039715593320732996,-0.019570025552345285,-0.018567482370116174,-0.0,0.0,0.028259325821130447,0.0,0.004246926935064352,0.04456367554273728,0.05401974957152916
Robbery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008515465506802293,0.008411565033554141,0.0,-0.010427079411455308,0.015578288962083228,0.0,0.0,0.0,0.015894897168109927,0.0067228117241358906,0.061597865687373986
Shoplifting,-0.17501595735761083,-0.15811966640407535,0.865668893196331,0.3986834971032462,-0.0,-0.0,-0.2637861570042366,0.0,-0.0,-0.1768416732920616,0.01546131964673348,-0.0023594311017608592,-0.021107637742191043,0.0,-0.0028726848541412602,0.16313428956761547,-0.019734732673479454,-0.044880534751647355,0.1359762946538762,-0.05552251602360951,0.046486119811095926
Theft from the person,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.02005328380052014,0.00402934981841132,-0.0,0.07111004931153445,0.02149610104605728,0.0,0.08384977930984364,0.010987797266235905,0.04968369079427763,0.12588203577561333
Vehicle crime,0.0,0.0,0.12469644756023755,0.0,0.08032338469065577,0.0,0.0,0.025042278055312134,0.0,0.0,0.134447651325876,-0.06635364663431315,-0.0,0.005031334016443414,-0.04076200873446485,0.0,0.003807571054451502,0.008542763230071323,-0.0,0.024781477719970205,0.004031331483595395
