,ww_0_6,ww_7_10,ww_11_15,ww_16_19,ww_20_23,we_0_6,we_7_10,we_11_15,we_16_19,we_20_23,unemployed_perc,rent_social_perc,level4_perc,car_3_over_perc,young_16_34_per,102,1057,320,422,425,947
p_crime,-0.576660047578079,-1.4061277414919244,2.1490546250370333,0.7761088174060028,0.0,-0.020600621014207558,-0.4167787126759087,-0.11624725898399732,0.6978137206187992,0.16558156588556042,0.2316568373242127,0.14898540687513995,0.16734737327771432,0.04833737990784924,0.08877943184004954,0.9590390275861829,-0.02352935202129372,0.21366033390783012,0.2688529206429766,0.045625357183818514,0.23196607833070168
Bicycle theft,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.03942200461351574,0.07328566137780347,-0.0,0.049345714115237735,0.24847787184060463,0.0,0.046309642323340984,0.0,-0.0,0.0
Burglary,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.026675377129747813,0.0,0.03672100886387834,0.009619724441333563,0.08109603857772478,0.008412420662199546,0.02860578116230056,0.02701100615259888,0.01337527665565645,-0.0,0.0,0.015937970339114687,0.06794448298781045
Criminal damage and arson,-0.0,0.0,0.0017751046036256293,0.008517235040734043,0.10111397477660727,-0.04605390870667248,0.02388724076504362,0.0,0.0,0.09109863998559829,0.034778818550287464,0.02787919707719573,-0.032521176127217256,-0.037004712815907254,-0.008679911056317578,0.021364311573759936,0.02226231215504411,0.013427120449738634,0.04159432528339593,0.021967592093996766,6.365014108427938e-05
Robbery,-0.09560520852284386,-0.0,0.0,0.10508413509069373,0.0,-0.0,-0.070759524523182,0.018556156350660703,0.14760655942676632,0.026105992882680295,0.03869894145143959,0.00893776872800283,0.012733410603711678,-0.01077283549377476,0.011862674089726737,0.040103300856809625,0.0,0.0219842784980392,0.057243060711258016,0.04841023611664292,0.04473461317224879
Shoplifting,-0.0,-0.0,0.3533542746452341,0.05074392319122409,-0.0,-0.11332853589615483,-0.0,0.0,-0.0,-0.07721683619625233,0.011032836392268179,0.0,-0.02884120825694553,-0.0,0.0,0.2983362442572965,-0.0,0.0159180311939488,0.17785310355975317,-0.06742800350865226,0.08907303749855326
Theft from the person,-0.10776797730507139,-0.019835012399070328,-0.0,-0.0,-0.0,-0.0,-0.1310457418808779,-0.04252567423432753,0.46441835065861947,0.0,0.0,0.04303016861564339,0.0,-0.0,0.04604342812199465,0.32914496747948346,-0.03357177680943392,0.11592225819513208,0.0,0.12147776019229717,0.07633229371334012
Vehicle crime,-0.0,0.0,0.046201540398802046,0.0,0.04949234622595978,0.0,0.0,0.1041910498785744,0.006809296504664021,0.09380262139585648,0.08277762615314398,-0.046944440717192414,-0.0,0.0,-0.03947047888185313,-0.00288446210093233,-0.0,-0.023117068885397146,0.03175721143731419,-0.0,0.0
