,crime_type,x_number,mod_r2,mod_rmse,alpha,coef,rmse,r_sq,p_values
0,p_crime,11,0.5035550019210275,2.214336110440328,0.010000000000000002,"[0.18492987 0.13605754 0.15662349 0.         0.12428749 1.10451729
 0.24867254 0.24963053 0.31745499 0.20591037 0.42405811]",3.091733586517441,0.4138356634853865,"[3.22627302e-04 3.86472681e-03 3.43782119e-04 1.00000000e+00
 1.99370373e-03 0.00000000e+00 8.99325059e-11 3.35433771e-06
 2.75557355e-13 2.39324012e-06 0.00000000e+00]"
1,p_crime,10,0.44540746560068845,2.340426367139116,0.003,"[-1.1030809  -2.00486749  3.82377934  2.35950932  1.20511537 -0.55126976
 -1.72845604 -0.22807145  1.138428   -0.        ]",2.693383188482471,0.56767144771033,"[1.05604347e-09 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.57965847e-05 8.53418604e-04 0.00000000e+00 6.12963533e-02
 4.11172962e-09 1.00000000e+00]"
2,p_crime,21,0.5331286637912565,2.1473684988841573,0.004,"[ 0.23165684  0.14898541  0.16734737  0.04833738  0.08877943  0.95903903
 -0.02352935  0.21366033  0.26885292  0.04562536  0.23196608 -0.57666005
 -1.40612774  2.14905463  0.77610882  0.         -0.02060062 -0.41677871
 -0.11624726  0.69781372  0.16558157]",2.684009286496602,0.5648777206010702,"[4.65454674e-06 1.20919460e-03 1.23504653e-04 2.85704986e-01
 2.46897370e-02 0.00000000e+00 6.47386293e-01 6.78170437e-05
 2.49665622e-10 3.07668865e-01 2.52347452e-06 1.10012964e-03
 1.63447988e-09 2.15383267e-14 4.76889366e-03 1.00000000e+00
 8.95609410e-01 1.60982759e-02 3.07913461e-01 4.08719238e-04
 4.87132973e-01]"
3,Bicycle theft,11,0.3899522725464113,0.43928798071424624,0.018000000000000002,"[-0.          0.0408195   0.07454135 -0.          0.04945404  0.24888984
  0.          0.04677512  0.         -0.          0.        ]",0.39856883972533524,0.18672957456032147,"[1.00000000e+00 1.26183331e-05 0.00000000e+00 1.00000000e+00
 5.98721961e-10 0.00000000e+00 1.00000000e+00 1.13087148e-05
 1.00000000e+00 1.00000000e+00 1.00000000e+00]"
4,Bicycle theft,10,0.28637297546677587,0.47511972175442263,0.001,"[-0.34627358  0.24427377  0.05371788  0.47582342  0.37845006 -0.
 -0.26872766 -0.02614445 -0.01070868 -0.13599134]",0.39669396264626966,0.14519253896328388,"[0.00000000e+00 1.12167847e-07 3.50591673e-01 0.00000000e+00
 7.98998645e-11 1.00000000e+00 4.79616347e-14 2.90584266e-01
 7.84908612e-01 7.15240689e-03]"
5,Bicycle theft,21,0.3895267103405552,0.43944116784843906,0.019000000000000003,"[-0.          0.039422    0.07328566 -0.          0.04934571  0.24847787
  0.          0.04630964  0.         -0.          0.          0.
  0.          0.          0.          0.         -0.          0.
  0.          0.          0.        ]",0.39813045600657077,0.1864544290411564,"[1.00000000e+00 2.86983244e-05 2.22044605e-16 1.00000000e+00
 1.12338805e-09 0.00000000e+00 1.00000000e+00 2.45389556e-05
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]"
6,Burglary,11,0.06292311719002464,0.6602510810290279,0.008,"[ 0.03671842  0.0090573   0.08133204  0.00892854  0.02912558  0.02792132
  0.02153791 -0.          0.          0.01977798  0.07040419]",0.6686183290936616,0.0834927178546514,"[1.65859316e-02 5.18757891e-01 4.77954343e-10 5.17268168e-01
 1.51034743e-02 2.01130976e-01 5.91736370e-02 1.00000000e+00
 1.00000000e+00 1.28238239e-01 1.80684650e-06]"
7,Burglary,10,0.04193716498249367,0.6676033478046677,0.003,"[-2.11084794e-01  0.00000000e+00  4.30650547e-02  8.76144853e-02
  1.31637986e-01 -0.00000000e+00 -1.04457882e-02 -9.93905987e-05
  3.98537269e-02  1.04715473e-01]",0.6659593380980553,0.09561805298439019,"[4.18551930e-05 1.00000000e+00 5.94318829e-01 2.61356959e-01
 1.06841006e-01 1.00000000e+00 8.34346382e-01 9.97718479e-01
 4.69764625e-01 1.40391749e-01]"
8,Burglary,21,0.0634687699272487,0.6600588231362414,0.008,"[ 0.03672101  0.00961972  0.08109604  0.00841242  0.02860578  0.02701101
  0.01337528 -0.          0.          0.01593797  0.06794448 -0.
  0.          0.          0.          0.         -0.          0.
  0.          0.02667538  0.        ]",0.664854954106533,0.09509902531872438,"[1.80956028e-02 4.96344176e-01 1.48852819e-09 5.45522503e-01
 1.85453882e-02 2.46947835e-01 3.97631461e-01 1.00000000e+00
 1.00000000e+00 2.46332075e-01 7.28804947e-06 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 6.60059653e-01
 1.00000000e+00]"
9,Criminal damage and arson,11,0.10180010181833332,0.589096537080299,0.002,"[ 0.04201626  0.02317193 -0.03099386 -0.03797049 -0.          0.03589725
  0.08273989  0.01717871  0.04039703  0.03239508  0.01006814]",0.5928111588018565,0.13675568994151666,"[2.12654537e-03 6.43241316e-02 7.73079121e-03 2.03502303e-03
 1.00000000e+00 6.54976481e-02 4.44089210e-16 2.28774695e-01
 4.61760590e-04 5.24509189e-03 4.43657676e-01]"
10,Criminal damage and arson,10,0.08432159175894272,0.5948006809007536,0.001,"[-0.         -0.07889657  0.12928275  0.03565726  0.23498752 -0.13921766
 -0.01509681 -0.02332485 -0.01140787  0.15001533]",0.6018972669816669,0.11767105492751384,"[1.00000000e+00 1.70455327e-01 7.27699325e-02 6.07887481e-01
 1.23961064e-03 9.20163864e-04 7.34429173e-01 4.51347954e-01
 8.16346792e-01 1.77770821e-02]"
11,Criminal damage and arson,21,0.11251497838695779,0.5855722414869066,0.002,"[ 3.47788186e-02  2.78791971e-02 -3.25211761e-02 -3.70047128e-02
 -8.67991106e-03  2.13643116e-02  2.22623122e-02  1.34271204e-02
  4.15943253e-02  2.19675921e-02  6.36501411e-05 -0.00000000e+00
  0.00000000e+00  1.77510460e-03  8.51723504e-03  1.01113975e-01
 -4.60539087e-02  2.38872408e-02  0.00000000e+00  0.00000000e+00
  9.10986400e-02]",0.5869222861674278,0.1504534480208709,"[1.16258697e-02 2.63020461e-02 6.20180190e-03 2.73626056e-03
 4.20515079e-01 3.01951529e-01 1.12553897e-01 3.58198949e-01
 3.24732635e-04 7.17076187e-02 9.96217232e-01 1.00000000e+00
 1.00000000e+00 9.81480660e-01 9.09534786e-01 1.76984469e-01
 2.82104107e-01 6.12874053e-01 1.00000000e+00 1.00000000e+00
 1.60961479e-01]"
12,Robbery,11,0.2513455893536384,0.43895455345627754,0.004,"[ 0.0321762   0.00896392  0.01538787 -0.01632799  0.01697975  0.05382389
  0.01856382  0.02720718  0.0565208   0.07239893  0.06404418]",0.43530483571860307,0.2425537052300757,"[1.59345302e-03 3.36786026e-01 7.58775822e-02 7.49140559e-02
 3.30973572e-02 2.12004115e-04 1.44469918e-02 1.05456972e-02
 5.19531085e-11 0.00000000e+00 6.78699319e-11]"
13,Robbery,10,0.21402391664849685,0.4497628041534782,0.001,"[-0.19535057 -0.06227099  0.16523057  0.2766015   0.11008317 -0.02033445
 -0.25599435  0.03328492  0.20527728  0.06583299]",0.4592798711025773,0.26861614627884733,"[1.86880504e-08 1.52498216e-01 2.43150517e-03 1.47040576e-07
 4.53373891e-02 5.21867668e-01 3.33066907e-14 1.55238110e-01
 3.42679380e-08 1.68869331e-01]"
14,Robbery,21,0.2678304341013812,0.43409492049550635,0.001,"[ 0.03869894  0.00893777  0.01273341 -0.01077284  0.01186267  0.0401033
  0.          0.02198428  0.05724306  0.04841024  0.04473461 -0.09560521
 -0.          0.          0.10508414  0.         -0.         -0.07075952
  0.01855616  0.14760656  0.02610599]",0.4244456266708375,0.3049915764701612,"[1.53147699e-04 3.36550778e-01 1.48187606e-01 2.39204405e-01
 1.37559848e-01 8.97415751e-03 1.00000000e+00 4.24622593e-02
 2.69049227e-11 8.95627132e-08 7.11817409e-06 7.42735087e-03
 1.00000000e+00 1.00000000e+00 5.86603802e-02 1.00000000e+00
 1.00000000e+00 4.32356624e-02 4.20740342e-01 2.17240416e-04
 5.87850816e-01]"
15,Shoplifting,11,0.3388827596622548,0.8599508241754292,0.004,"[-0.          0.         -0.02834497  0.00618773  0.          0.37052488
  0.0593743   0.05680651  0.18905206 -0.09783432  0.10613721]",0.936655374190529,0.29200248044140575,"[1.00000000e+00 1.00000000e+00 9.50993335e-02 7.30419351e-01
 1.00000000e+00 0.00000000e+00 6.57444490e-05 6.42119519e-03
 0.00000000e+00 8.03586109e-09 3.32531718e-08]"
