,crime_type,x_number,mod_r2,mod_rmse,alpha,coef,rmse,r_sq,p_values
0,p_crime,11,0.587482867835154,2.824645692825916,0.001,"[0.20757641 0.35239676 0.32402808 0.05166647 0.04220811 2.00535556
 0.0770036  0.18448862 0.0156924  1.00282408 0.42459193]",2.9850780056809234,0.5657457200145442,"[1.55033791e-03 4.68367478e-09 6.64473232e-09 3.81092540e-01
 4.10324368e-01 0.00000000e+00 1.14800388e-01 7.04333968e-03
 7.76492943e-01 0.00000000e+00 1.79429804e-11]"
1,p_crime,10,0.5857077903156689,2.830716451713241,0.001,"[-3.6181211   3.55843327  4.18772318  0.46298882  0.66924383  1.03087004
 -3.54108481  0.81759767 -0.61554712  2.49995137]",3.274789558124308,0.4930988021899746,"[0.00000000e+00 3.93018951e-14 0.00000000e+00 3.02136294e-01
 3.36821777e-02 0.00000000e+00 0.00000000e+00 1.88725787e-03
 2.33396620e-02 0.00000000e+00]"
2,p_crime,21,0.6518440687384508,2.5949553194612043,0.010000000000000002,"[ 0.15458781  0.29433189  0.18284406  0.05671814  0.00892731  1.67426646
 -0.          0.19809728 -0.          0.42013668  0.23192654 -1.7765573
  0.          1.91069418  0.         -0.          0.77097328 -1.61304338
  1.41973938 -0.          0.84984994]",2.8278477929337003,0.6189703988804907,"[1.13839251e-02 1.18533647e-07 4.83838052e-04 2.98975223e-01
 8.51654484e-01 0.00000000e+00 1.00000000e+00 3.17116178e-03
 1.00000000e+00 2.64233080e-14 8.69286882e-05 0.00000000e+00
 1.00000000e+00 6.11510754e-06 1.00000000e+00 1.00000000e+00
 9.65671987e-13 0.00000000e+00 1.00674655e-08 1.00000000e+00
 2.04718292e-04]"
3,Bicycle theft,11,0.42801128386363274,0.6667364246836976,0.04,"[ 0.          0.03918276  0.09644902 -0.          0.08186258  0.47310604
  0.          0.         -0.          0.          0.        ]",0.6342593791186694,0.44400875865254064,"[1.00000000e+00 5.72236666e-03 2.75113266e-13 1.00000000e+00
 1.48530077e-11 0.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00]"
4,Bicycle theft,10,0.35042830556512283,0.710516220785986,0.003,"[-0.1094862   1.10758265  0.         -0.          0.02573891 -0.2699541
 -0.4477996   0.13939893 -0.          0.46452166]",0.703306881809072,0.3539190509075705,"[4.72186435e-03 0.00000000e+00 1.00000000e+00 1.00000000e+00
 7.44801965e-01 0.00000000e+00 0.00000000e+00 3.47425741e-02
 1.00000000e+00 6.21724894e-15]"
5,Bicycle theft,21,0.4308296704667378,0.6650917756219814,0.036000000000000004,"[ 0.          0.04659413  0.10321104 -0.          0.08168028  0.46247656
  0.          0.         -0.          0.          0.          0.
  0.          0.          0.          0.         -0.          0.
  0.02221519  0.          0.        ]",0.6324415862354403,0.44647244087106397,"[1.00000000e+00 1.06093732e-03 1.77635684e-14 1.00000000e+00
 2.72861733e-11 0.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.26048161e-01 1.00000000e+00
 1.00000000e+00]"
6,Burglary,11,0.10486974046483688,0.6656565405672809,0.006,"[ 0.05782724  0.06314597  0.11263488  0.          0.01951448  0.09358219
  0.02572052  0.00828147 -0.00268869  0.01006573  0.04280323]",0.6819871772988111,0.1428711244820704,"[1.83430508e-04 8.28688185e-06 0.00000000e+00 1.00000000e+00
 1.06287297e-01 2.17499670e-05 2.54259882e-02 6.07607372e-01
 8.36474856e-01 4.42535775e-01 3.96470557e-03]"
7,Burglary,10,0.08030092697069302,0.6747299089265274,0.002,"[-0.19392676  0.34202127  0.00906766  0.04378613  0.00259503 -0.03687251
 -0.13449688  0.00167533  0.00468361  0.30658531]",0.6947883562639777,0.10751397618221237,"[1.40526827e-07 2.23154874e-03 9.29335853e-01 6.82227551e-01
 9.72432066e-01 1.69064601e-01 1.20103188e-05 9.78677718e-01
 9.42273966e-01 5.70255747e-08]"
8,Burglary,21,0.10952614146628037,0.6639229398055169,0.006,"[ 0.05647192  0.06191923  0.10805944  0.          0.01663367  0.08266756
  0.01106529  0.0085524  -0.00219547  0.          0.03623022 -0.04401492
  0.          0.          0.          0.         -0.00139209 -0.
  0.          0.0506968   0.05428633]",0.6815879033550991,0.14413953134794044,"[3.03737275e-04 1.32198703e-05 8.88178420e-16 1.00000000e+00
 1.73275713e-01 5.25686724e-04 4.82416339e-01 6.18404194e-01
 8.67251956e-01 1.00000000e+00 1.65149302e-02 2.62523021e-01
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 9.59732570e-01 1.00000000e+00 1.00000000e+00 4.47735815e-01
 3.53582615e-01]"
9,Criminal damage and arson,11,0.16119569073625806,0.6509566268193296,0.001,"[ 0.03827781  0.05522378 -0.02914374 -0.02418748 -0.00602376  0.04187566
  0.09015923  0.04155299  0.05043428  0.06424877  0.05504641]",0.5885111128942256,0.228514143395824,"[1.13066254e-02 6.68462258e-05 2.34008986e-02 7.52323780e-02
 6.10139670e-01 5.18505151e-02 1.33226763e-15 8.44446121e-03
 7.62269244e-05 5.56000485e-07 1.52177048e-04]"
10,Criminal damage and arson,10,0.12634711249965513,0.6643411999868742,0.002,"[-0.09355718  0.          0.2125998  -0.          0.         -0.
 -0.09879433 -0.         -0.          0.29666668]",0.6002591023882936,0.19891538300951495,"[9.81333431e-03 1.00000000e+00 3.47530404e-02 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.08646012e-03 1.00000000e+00
 1.00000000e+00 9.57062984e-08]"
11,Criminal damage and arson,21,0.16811066824705578,0.6482678844428436,0.004,"[ 0.03175814  0.0560825  -0.02961611 -0.01962997 -0.00764261  0.02429572
  0.04553773  0.04467065  0.04912971  0.03699961  0.04580023 -0.03722393
 -0.          0.         -0.          0.          0.         -0.
  0.02264705  0.01561925  0.114117  ]",0.5864527687717059,0.23272276387556246,"[3.74040165e-02 5.30830465e-05 2.36146121e-02 1.50195266e-01
 5.21628812e-01 2.96378531e-01 3.08373578e-03 7.73057641e-03
 1.29257080e-04 7.11449104e-03 1.91481151e-03 3.31810011e-01
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.14015481e-01 8.10674095e-01
 4.58427557e-02]"
12,Robbery,11,0.34104202148391105,0.5011221707328464,0.001,"[ 0.0294025   0.03797523  0.01731226  0.00916443  0.03640223  0.13413592
 -0.0211985  -0.01139254  0.01212544  0.22419075  0.03952808]",0.5302633968133196,0.3090406444640733,"[1.14871423e-02 3.67656692e-04 8.02270230e-02 3.81183729e-01
 6.35435427e-05 6.66133815e-16 1.44213427e-02 3.48092721e-01
 2.16319724e-01 0.00000000e+00 4.10432878e-04]"
13,Robbery,10,0.3099416611787169,0.5128113883290815,0.001,"[-0.41971424  0.04318386  0.35427265  0.          0.2355355   0.06535266
 -0.26110865 -0.          0.10825344  0.33404216]",0.5572691450277864,0.2781846955743841,"[0.00000000e+00 6.11326444e-01 5.26778947e-06 1.00000000e+00
 3.73326264e-05 1.34760512e-03 0.00000000e+00 1.00000000e+00
 2.76944457e-02 7.99360578e-15]"
14,Robbery,21,0.3788968673519023,0.4865154262713568,0.001,"[ 0.01950281  0.03483306 -0.          0.01146446  0.03011184  0.14562824
 -0.00620334  0.00291954  0.01256336  0.14820879  0.01564715 -0.24228324
 -0.06660286 -0.          0.          0.05662493  0.07355308 -0.08699262
  0.07734684  0.15217652  0.1359932 ]",0.5176224009835741,0.359921223417345,"[8.85256868e-02 8.20609390e-04 1.00000000e+00 2.62817722e-01
 7.72532222e-04 2.22044605e-16 5.91001041e-01 8.16499688e-01
 1.91834360e-01 0.00000000e+00 1.57602438e-01 0.00000000e+00
 4.55350866e-01 1.00000000e+00 1.00000000e+00 3.22119983e-01
 2.74821864e-04 4.92749395e-04 9.54149217e-02 1.88100885e-03
 1.52545456e-03]"
15,Shoplifting,11,0.4082695417967681,0.947893142711772,0.001,"[-0.01416665  0.02822277 -0.02323891  0.0086392  -0.01726128  0.50934373
  0.03430123  0.11549378  0.14834741 -0.0583203   0.13929118]",1.0148275469260775,0.3382092308884048,"[5.19565864e-01 1.61393965e-01 2.14404928e-01 6.62513926e-01
 3.15700937e-01 0.00000000e+00 3.63416663e-02 5.10198947e-07
 1.55431223e-15 1.79007749e-03 4.96811481e-11]"
