,ww_0_6,ww_7_10,ww_11_15,ww_16_19,ww_20_23,we_0_6,we_7_10,we_11_15,we_16_19,we_20_23,unemployed_perc,rent_social_perc,level4_perc,car_3_over_perc,young_16_34_per,102,1057,320,422,425,947
p_crime,0.0011001296389077098,1.6344798847711672e-09,2.1538326677728037e-14,0.004768893662273621,1.0,0.8956094103481003,0.016098275877145296,0.30791346104233686,0.0004087192380013427,0.48713297334697314,4.654546744919941e-06,0.001209194600041208,0.0001235046532352957,0.28570498585919024,0.024689736980669785,0.0,0.6473862933753973,6.781704374514419e-05,2.4966562151007565e-10,0.30766886525424875,2.523474515570001e-06
Bicycle theft,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8698324381570828e-05,2.220446049250313e-16,1.0,1.1233880492511616e-09,0.0,1.0,2.4538955641473237e-05,1.0,1.0,1.0
Burglary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6600596533239773,1.0,0.0180956028351289,0.49634417568672906,1.4885281895971048e-09,0.5455225025077604,0.018545388157456877,0.24694783498704442,0.39763146112980063,1.0,1.0,0.2463320750702287,7.288049470588476e-06
Criminal damage and arson,1.0,1.0,0.9814806597477594,0.9095347864932628,0.17698446939096968,0.28210410671814534,0.612874053150787,1.0,1.0,0.1609614786710576,0.011625869687759804,0.026302046052874894,0.006201801899970993,0.0027362605596477074,0.4205150792656398,0.30195152895069244,0.11255389688947215,0.3581989490420654,0.00032473263451260337,0.07170761865062913,0.9962172320989577
Robbery,0.007427350872678762,1.0,1.0,0.05866038017634834,1.0,1.0,0.043235662434346844,0.42074034165731544,0.00021724041637094516,0.5878508156833986,0.00015314769863672417,0.33655077771136055,0.14818760600204284,0.23920440451650382,0.13755984751732742,0.008974157513630399,1.0,0.042462259301158545,2.690492273416112e-11,8.956271324578324e-08,7.118174089049134e-06
Shoplifting,1.0,1.0,0.0014116747250434436,0.6398419115613962,1.0,0.06735041489115656,1.0,1.0,1.0,0.41142935647132584,0.579942504532958,1.0,0.09331899926588805,1.0,1.0,0.0,1.0,0.45149653101706066,0.0,0.0001341118497468763,4.6271747857762335e-06
Theft from the person,0.04859777334505799,0.7829473425893627,1.0,1.0,1.0,1.0,0.014447748955910944,0.22796819794854528,3.3084646133829665e-14,1.0,1.0,0.002512195346894508,1.0,1.0,0.0001674090200631806,0.0,0.034945249245327714,3.0675462170393075e-12,1.0,0.0,5.586072622243421e-07
Vehicle crime,1.0,1.0,0.713583773233105,1.0,0.6880438429082916,1.0,1.0,0.04178407137384821,0.9387136066744477,0.38048834041662305,0.0002649414519386717,0.023039675684285665,1.0,1.0,0.026088415906101003,0.9325196844454402,1.0,0.336535639351768,0.09525938212368379,1.0,1.0
