,ww_0_6,ww_7_10,ww_11_15,ww_16_19,ww_20_23,we_0_6,we_7_10,we_11_15,we_16_19,we_20_23,unemployed_perc,rent_social_perc,level4_perc,car_3_over_perc,young_16_34_per,102,1057,320,422,425,947
p_crime,0.0,0.0,0.0,0.0,0.024697532707545822,0.0,3.852132614889925e-06,0.0,0.0,0.0,0.009638060673262228,0.16669074706313514,0.000524672628006595,0.2835295908329647,0.0163666366334283,0.0,0.0013653057606568542,5.886367466789721e-07,1.8813979554277438e-06,0.8851530553971279,0.31770330226650056
Bicycle theft,0.6908285003749919,1.0,0.0015491098038979967,0.8180414487146328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0008346838592654393,0.02074006638410064,0.023080680090960204,2.058960590245462e-06,1.0,7.145609193015545e-06,1.0,1.0,1.0
Burglary,0.6420657169506798,0.00308642753119881,0.005362619391509504,1.0,1.0,1.0,1.0,0.5224341859105257,0.3520890517032247,1.0,1.0,1.0,0.02466122194698217,0.0030699829284155378,0.07512900865056804,4.792187091595679e-09,1.0,0.010627346464193277,0.5391110500608132,0.24478507968082575,0.992371854459781
Criminal damage and arson,1.0,0.9489244728016826,1.0,1.0,1.0,0.4562657537451229,0.8103232997043925,0.4798669793725163,1.0,0.5847979384090713,0.24833982263573295,3.530330831136297e-05,0.058265986830230654,0.05030120085577594,1.0,0.002105888533803446,0.051982459109632506,0.05108733809224453,1.982764477048704e-07,0.026097102903148706,0.2194020092008775
Robbery,0.0,4.440892098500626e-16,9.958700530887654e-12,1.0,0.012328055955692196,0.0,4.2646441866800444e-07,0.3003391744335244,2.405304510455508e-06,1.0,0.058735948763323886,0.0641578547420647,0.0858883305881104,0.1579916000078474,1.0,0.0,0.023176303165349577,0.43227340557039007,0.4106660097804675,0.04086134239858308,0.09790699610277698
Shoplifting,0.2991336803861766,0.16621145622635813,9.887851184942065e-06,1.0,0.40831984004895205,1.0,1.0,3.708144902248023e-13,1.0,0.02064082019900426,1.0,1.0,1.0,1.0,1.0,4.024571786942488e-10,1.0,1.0,0.00030665544322094895,1.0,0.00042179326604530054
Theft from the person,0.0,0.0,0.0,0.0,0.0004283477392856838,0.0,1.3093822581744519e-07,0.0,0.0,0.0,0.5873997929910479,0.012971200342598799,0.15328800359768824,0.2330164641399861,0.5515473560313651,0.0,0.0021298356109860084,1.0296208330373702e-12,0.0,2.308664548422712e-08,0.01771911686815275
Vehicle crime,1.0,1.0,1.0,0.47294162696776776,1.0,0.41243826493617175,1.0,0.04752955587537189,1.0,0.09268425112710776,1.0,0.20256439728268116,1.0,1.0,0.01351707486646414,1.0,0.1982265598152788,0.001290906313993645,1.0,0.8773772823798591,1.0
