,crime_type,x_number,mod_r2,mod_rmse,alpha,coef,rmse,r_sq,p_values
0,p_crime,11,0.5985970916965828,4.501438852189375,0.001,"[ 2.21612287e-01  1.22528236e-01 -1.06139121e-02  1.02180421e-01
 -2.20751993e-01  2.52551961e+00 -5.87544432e-04  1.08291941e+00
 -3.63344139e-01  2.29112198e+00  6.34328528e-01]",3.475339976174993,0.6139201827885774,"[3.39225500e-02 2.00448135e-01 9.04945447e-01 2.77059211e-01
 6.91077202e-03 0.00000000e+00 9.93974959e-01 0.00000000e+00
 3.77035217e-05 0.00000000e+00 2.91410229e-10]"
1,p_crime,10,0.7169649442067737,3.7799078494058556,0.001,"[-3.04290868 -4.92272027  5.52945425  2.06409898 -0.76274498  2.95310971
 -0.8558077  -1.58141608  2.3553757  -0.83244386]",3.500918522330961,0.5244340390725523,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.00789697e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.81916720e-14]"
2,p_crime,21,0.7396945821412543,3.6249556824877183,0.001,"[ 0.22139923  0.10798004  0.2573392   0.08166491 -0.15991573  2.45641537
  0.27468488  0.54843328 -0.34344622 -0.01288123  0.08373334 -1.74197647
 -4.73044553  4.23468601  1.67255259 -0.37877091  1.91307181 -0.50984316
 -1.38972578  2.22460345 -0.99169934]",2.7515480697236603,0.671685683074704,"[9.63806067e-03 1.66690747e-01 5.24672628e-04 2.83529591e-01
 1.63666366e-02 0.00000000e+00 1.36530576e-03 5.88636747e-07
 1.88139796e-06 8.85153055e-01 3.17703302e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.46975327e-02
 0.00000000e+00 3.85213261e-06 0.00000000e+00 0.00000000e+00
 0.00000000e+00]"
3,Bicycle theft,11,0.35669535075191683,0.3117574698383344,0.012,"[-0.          0.00935033  0.02319806 -0.00677639  0.01743691  0.13623699
  0.00068039  0.08007509 -0.          0.          0.        ]",0.3001351862078154,0.3063363618696695,"[1.00000000e+00 1.58346206e-01 1.66021682e-04 2.97957590e-01
 2.06792691e-03 0.00000000e+00 8.99524125e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00]"
4,Bicycle theft,10,0.32607911316575267,0.31908984628157633,0.016,"[-0.04295904  0.          0.09585142  0.          0.01130481 -0.
 -0.00838041  0.          0.00269295  0.        ]",0.3208377471557859,0.2635859848405827,"[1.61818710e-04 1.00000000e+00 2.22044605e-16 1.00000000e+00
 4.17701398e-01 1.00000000e+00 3.28495583e-01 1.00000000e+00
 8.33992052e-01 1.00000000e+00]"
5,Bicycle theft,21,0.3619472482203445,0.3104822861291768,0.018000000000000002,"[-0.          0.          0.02123453 -0.01508737  0.01296321  0.06418052
 -0.          0.04220867 -0.          0.          0.         -0.00541132
  0.          0.0436859   0.00373539  0.         -0.         -0.
  0.          0.          0.        ]",0.3018283121246249,0.30643143419295915,"[1.00000000e+00 1.00000000e+00 8.34683859e-04 2.07400664e-02
 2.30806801e-02 2.05896059e-06 1.00000000e+00 7.14560919e-06
 1.00000000e+00 1.00000000e+00 1.00000000e+00 6.90828500e-01
 1.00000000e+00 1.54910980e-03 8.18041449e-01 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]"
6,Burglary,11,0.13842962271851444,0.7734198277779023,0.003,"[ 0.          0.01155922  0.05468109  0.06101641 -0.04417328  0.16478941
  0.00380087  0.04225457 -0.04102309  0.09760033  0.06193909]",0.7051413404417586,0.1359567493625281,"[1.00000000e+00 4.82053236e-01 3.45861190e-04 1.59931331e-04
 1.65861010e-03 1.29743105e-10 7.76168589e-01 2.41725025e-02
 6.73986117e-03 1.60405467e-10 3.34230468e-04]"
7,Burglary,10,0.14052161987680067,0.7724802780654014,0.010000000000000002,"[-0.20172412 -0.12925842  0.23810352 -0.         -0.          0.11428761
 -0.          0.          0.0320702  -0.        ]",0.7200908623222488,0.13117278404382815,"[2.83328916e-13 2.83814206e-04 0.00000000e+00 1.00000000e+00
 1.00000000e+00 3.47530126e-07 1.00000000e+00 1.00000000e+00
 3.02566862e-01 1.00000000e+00]"
8,Burglary,21,0.15638795928756366,0.7653169082151524,0.013000000000000001,"[-0.00000000e+00 -0.00000000e+00  3.51858894e-02  4.76172786e-02
 -2.50256991e-02  1.95196488e-01  0.00000000e+00  5.91648846e-02
 -9.33346560e-03  2.19007575e-02  1.69142442e-04 -1.55882647e-02
 -1.11489252e-01  9.47128814e-02 -0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.91494847e-02  2.96574484e-02
  0.00000000e+00]",0.6997933266329424,0.14755469947652522,"[1.00000000e+00 1.00000000e+00 2.46612219e-02 3.06998293e-03
 7.51290087e-02 4.79218709e-09 1.00000000e+00 1.06273465e-02
 5.39111050e-01 2.44785080e-01 9.92371854e-01 6.42065717e-01
 3.08642753e-03 5.36261939e-03 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 5.22434186e-01 3.52089052e-01
 1.00000000e+00]"
9,Criminal damage and arson,11,0.18168997029179457,0.5994232811628191,0.001,"[ 0.01859107  0.04936113 -0.03365183 -0.02855685  0.00842907  0.09141051
  0.06499628  0.03983856  0.06213081  0.05490399  0.01843046]",0.6272688100009437,0.14068992220380594,"[1.81427083e-01 1.08598942e-04 4.48224172e-03 2.25627405e-02
 4.38461582e-01 4.12229698e-06 3.83759025e-10 6.10478251e-03
 1.22977009e-07 3.37750201e-06 1.68195901e-01]"
10,Criminal damage and arson,10,0.14678492177518487,0.6120739987942634,0.001,"[-0.06963751 -0.03563825  0.08622852  0.0140578   0.00651758  0.09323933
 -0.07929703  0.09116971 -0.07924416  0.05587123]",0.6511880066463142,0.09825158963537428,"[1.43025545e-03 2.06315837e-01 1.21161771e-04 6.44193736e-01
 8.07551034e-01 1.55227938e-07 1.47483085e-06 4.46709916e-05
 1.31134836e-03 1.66612120e-03]"
11,Criminal damage and arson,21,0.18458579789195628,0.5983617217035194,0.004,"[ 0.01629344  0.05335275 -0.02318614 -0.02460755  0.          0.08005612
  0.0275093   0.03531692  0.06188241  0.03275863  0.01698886 -0.
 -0.00188618  0.         -0.         -0.          0.01502046 -0.00436797
  0.01653854  0.          0.00961632]",0.6265762363830917,0.14203360185501945,"[2.48339823e-01 3.53033083e-05 5.82659868e-02 5.03012009e-02
 1.00000000e+00 2.10588853e-03 5.19824591e-02 5.10873381e-02
 1.98276448e-07 2.60971029e-02 2.19402009e-01 1.00000000e+00
 9.48924473e-01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 4.56265754e-01 8.10323300e-01 4.79866979e-01 1.00000000e+00
 5.84797938e-01]"
12,Robbery,11,0.38287047444714284,0.6495295605282334,0.009000000000000001,"[ 0.02292891  0.02553691  0.00868152 -0.02471109  0.00330013  0.15461005
 -0.01297596  0.          0.          0.31968875  0.08964425]",0.5248570757834936,0.3210279429466486,"[1.28259253e-01 6.44509077e-02 4.98467056e-01 6.85253257e-02
 7.79513898e-01 7.13207271e-13 2.47803562e-01 1.00000000e+00
 1.00000000e+00 0.00000000e+00 6.66019018e-10]"
13,Robbery,10,0.4658853939388764,0.6042657610687536,0.003,"[-0.46240643 -0.22313134  0.29487733  0.          0.07040355  0.36777965
 -0.15267982  0.          0.11105503  0.01337435]",0.5275622332957506,0.2535142317174617,"[0.00000000e+00 1.33226763e-15 0.00000000e+00 1.00000000e+00
 7.71541540e-03 0.00000000e+00 0.00000000e+00 1.00000000e+00
 5.13503995e-06 4.45633367e-01]"
14,Robbery,21,0.49936905938014053,0.585018503980857,0.002,"[ 0.02608649  0.02332782  0.02055923 -0.01735186  0.          0.26730003
  0.0314272   0.01389812  0.00955765  0.0294381   0.02238605 -0.30627485
 -0.23591763  0.17735138 -0.          0.0681138   0.2431934  -0.09009544
 -0.02370446  0.11502138 -0.        ]",0.4788548736308319,0.37402652124142266,"[5.87359488e-02 6.41578547e-02 8.58883306e-02 1.57991600e-01
 1.00000000e+00 0.00000000e+00 2.31763032e-02 4.32273406e-01
 4.10666010e-01 4.08613424e-02 9.79069961e-02 0.00000000e+00
 4.44089210e-16 9.95870053e-12 1.00000000e+00 1.23280560e-02
 0.00000000e+00 4.26464419e-07 3.00339174e-01 2.40530451e-06
 1.00000000e+00]"
15,Shoplifting,11,0.4011981457676076,1.3675479955014376,0.001,"[ 0.02255326  0.00505564 -0.03807554  0.00720897 -0.05434026  0.80205242
  0.09138202  0.11453045  0.14029419 -0.06667393  0.17875826]",0.9967364847340545,0.41733367003961586,"[4.77304100e-01 8.61947545e-01 1.58558919e-01 8.00705314e-01
 2.86044620e-02 0.00000000e+00 1.12031986e-04 5.51196481e-04
 1.65042924e-07 1.33164673e-02 4.95741093e-09]"
16,Shoplifting,10,0.4540508442099995,1.3058013363448515,0.074,"[-0.09050215 -0.19791351  0.56026232 -0.         -0.06859725 -0.
 -0.11219686  0.40775945  0.         -0.04413603]",0.9524294042079969,0.4427666590741739,"[0.05201816 0.00100869 0.         1.         0.22950847 1.
 0.00139714 0.         1.         0.2441378 ]"
17,Shoplifting,21,0.4757363252711896,1.2796048960519024,0.08,"[ 0.          0.         -0.         -0.         -0.          0.34868933
 -0.          0.          0.09177879 -0.          0.10436877 -0.0582229
 -0.08718791  0.25151287 -0.         -0.04920977 -0.         -0.
  0.36470748  0.         -0.08713394]",0.8936285805635359,0.4730450617154396,"[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 4.02457179e-10 1.00000000e+00 1.00000000e+00
 3.06655443e-04 1.00000000e+00 4.21793266e-04 2.99133680e-01
 1.66211456e-01 9.88785118e-06 1.00000000e+00 4.08319840e-01
 1.00000000e+00 1.00000000e+00 3.70814490e-13 1.00000000e+00
 2.06408202e-02]"
18,Theft from the person,11,0.5732504622633383,2.594679371328951,0.001,"[ 0.01967372  0.11283267 -0.10874803  0.09352507 -0.05462241  1.22215005
 -0.3541135   0.6702837  -0.49039166  1.75090898  0.20780244]",1.9197432692941,0.5946033115238163,"[7.43867055e-01 4.08458319e-02 3.38248568e-02 8.43787635e-02
 2.46100502e-01 0.00000000e+00 3.55271368e-15 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.34046433e-04]"
19,Theft from the person,10,0.7291778759448592,2.066994109812604,0.001,"[-2.1970639  -3.08407108  3.04872007  1.49424847 -0.37575269  2.20101207
 -0.56440827 -1.75973148  2.06263118 -0.7586362 ]",1.8527069277141488,0.42174370946293716,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.25613079e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]"
20,Theft from the person,21,0.7531136464078376,1.9735389937875563,0.001,"[-0.02525833  0.10564182  0.05766319  0.04944493 -0.02158871  1.30335416
  0.14345128  0.42657548 -0.43845409  0.27170779 -0.10822042 -1.22984674
 -3.11035443  2.27358182  1.52015255 -0.32347573  1.45575488 -0.31724106
 -1.49966394  1.79977943 -0.74847915]",1.4009755708077138,0.662554480032054,"[5.87399793e-01 1.29712003e-02 1.53288004e-01 2.33016464e-01
 5.51547356e-01 0.00000000e+00 2.12983561e-03 1.02962083e-12
 0.00000000e+00 2.30866455e-08 1.77191169e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.28347739e-04
 0.00000000e+00 1.30938226e-07 0.00000000e+00 0.00000000e+00
 0.00000000e+00]"
21,Vehicle crime,11,0.09973471753906449,1.1168176261144878,0.002,"[ 0.12858431 -0.13351325  0.04018466 -0.01709734 -0.08926884 -0.0563346
  0.20653655  0.1274367  -0.00242814  0.13711978  0.04054449]",1.0123157412586252,0.08317999536355014,"[7.22974697e-07 1.97453238e-08 6.84579638e-02 4.63507134e-01
 1.08334569e-05 1.27324117e-01 0.00000000e+00 2.54709876e-06
 9.11535440e-01 4.88597385e-10 1.03737577e-01]"
22,Vehicle crime,10,0.09091084943215544,1.1222774701472003,0.046,"[ 0.         -0.          0.         -0.          0.          0.02842897
  0.          0.08782379  0.          0.04569134]",1.021402951826555,0.061572552237896816,"[1.         1.         1.         1.         1.         0.38233266
 1.         0.03188569 1.         0.16065287]"
