,crime_type,x_number,mod_r2,mod_rmse,alpha,coef,rmse,r_sq,p_values
0,p_crime,11,0.2983189700098804,1.496411654592412,0.001,"[ 0.23312622  0.08413938  0.08935292 -0.04719168  0.04916543  0.25837235
  0.18498405  0.26429462  0.10578644 -0.11189778  0.36917727]",1.6654966946830005,0.23545340370911239,"[2.11650697e-11 8.19543479e-03 2.50544239e-03 1.31038403e-01
 7.02892539e-02 1.86394808e-07 9.81881243e-13 3.59712260e-13
 3.06109221e-04 1.47809470e-04 0.00000000e+00]"
1,p_crime,10,0.20830350109134144,1.5895001635734423,0.001,"[-0.40607268  3.00882506  2.16323863  0.19507856  0.79675782 -0.49736733
 -1.57571781  0.94348948 -1.28072586  0.80617246]",1.6854776415010673,0.2072580156305348,"[3.24106461e-04 3.64153152e-14 4.69684689e-08 7.01910820e-01
 1.41063366e-04 6.47693010e-09 0.00000000e+00 1.37988581e-03
 1.17344258e-05 1.35687984e-06]"
2,p_crime,21,0.3185266326832814,1.474706716605034,0.001,"[ 0.21909791  0.09028069  0.09930815 -0.03195784  0.01907924  0.26441166
  0.03254409  0.27824522  0.05545218 -0.11615913  0.28784346 -0.54914378
  0.7896677   1.55316965  0.          0.45321265 -0.         -0.22190275
  0.         -0.76898189  0.38987517]",1.624169732509506,0.2657707585424991,"[4.12196721e-10 4.38003715e-03 9.21289060e-04 3.02949880e-01
 4.79749847e-01 1.14956862e-07 3.01695465e-01 1.64313008e-14
 5.68719936e-02 7.01205071e-05 0.00000000e+00 2.60439473e-06
 5.18660796e-02 1.61419775e-04 1.00000000e+00 2.42163939e-02
 1.00000000e+00 1.21784716e-01 1.00000000e+00 5.16281573e-03
 1.36909590e-02]"
3,Bicycle theft,11,0.1267396822604312,0.28745500517472294,0.007,"[-0.          0.02241144  0.04650308 -0.00907889  0.02245043  0.05007605
  0.00038791  0.00560995 -0.         -0.          0.00919334]",0.40740948688021494,0.19454428792006384,"[1.00000000e+00 2.47504728e-04 4.44089210e-16 1.30463579e-01
 1.71375090e-05 1.44932575e-07 9.37770411e-01 4.20540781e-01
 1.00000000e+00 1.00000000e+00 1.51756267e-01]"
4,Bicycle theft,10,0.06435262429993871,0.29754599644424723,0.001,"[-0.00651     0.48880029  0.          0.          0.         -0.08779622
 -0.13090485  0.          0.          0.07436354]",0.4191840407267433,0.10423061368150144,"[7.58002707e-01 4.80762097e-11 1.00000000e+00 1.00000000e+00
 1.00000000e+00 4.39744774e-08 1.78135790e-06 1.00000000e+00
 1.00000000e+00 1.71799442e-02]"
5,Bicycle theft,21,0.1267396822604312,0.28745500517472294,0.007,"[-0.          0.02241144  0.04650308 -0.00907889  0.02245043  0.05007605
  0.00038791  0.00560995 -0.         -0.          0.00919334  0.
  0.          0.          0.          0.         -0.          0.
  0.          0.          0.        ]",0.40740948688021494,0.19454428792006384,"[1.00000000e+00 2.85763801e-04 1.99840144e-15 1.33288539e-01
 2.02363720e-05 2.58863495e-07 9.49639485e-01 4.25808552e-01
 1.00000000e+00 1.00000000e+00 1.61116711e-01 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]"
6,Burglary,11,0.11901015712028074,0.5483481193548493,0.001,"[0.02159306 0.04774884 0.06362947 0.00637696 0.03159664 0.07813553
 0.04193962 0.01632722 0.         0.01125074 0.05220055]",0.5576784019486499,0.08842714688607345,"[8.97640585e-02 4.26798763e-05 4.45465553e-09 5.77602133e-01
 1.50714199e-03 1.68052378e-05 9.85081820e-06 2.19122412e-01
 1.00000000e+00 2.97450089e-01 2.01772112e-05]"
7,Burglary,10,0.07294068939885068,0.5625027733264966,0.001,"[ 0.03711134  0.61811835  0.1859819   0.          0.07273738 -0.20143842
 -0.16765421  0.00698268 -0.          0.15525554]",0.5756602122780416,0.04411598583298826,"[3.52866170e-01 1.05917375e-05 1.83854782e-01 1.00000000e+00
 3.25807815e-01 3.16193738e-11 1.20299860e-03 9.46634913e-01
 1.00000000e+00 8.50408444e-03]"
8,Burglary,21,0.12399990852991538,0.546793050431331,0.001,"[ 0.01743183  0.05025065  0.0654006   0.00559856  0.02705555  0.07500901
  0.01318408  0.01441826 -0.00074171  0.01425353  0.04108268  0.03543441
  0.          0.14435335  0.          0.01383962 -0.06518303  0.
  0.         -0.02030024  0.06803619]",0.5588966004548606,0.08731649847295286,"[1.79089172e-01 1.90967594e-05 4.14919010e-09 6.26446957e-01
 6.89521456e-03 4.93949140e-05 2.59139374e-01 2.81927598e-01
 9.45221170e-01 1.87924860e-01 9.99811755e-04 4.12897352e-01
 1.00000000e+00 3.43966348e-01 1.00000000e+00 8.52714127e-01
 3.65552970e-02 1.00000000e+00 1.00000000e+00 8.42106831e-01
 2.45820379e-01]"
9,Criminal damage and arson,11,0.064985170577604,0.549515886940496,0.003,"[ 0.06357488  0.02708277 -0.01446172 -0.02899883 -0.          0.
  0.05085591  0.          0.02679655  0.01731755  0.01899097]",0.565926337962813,0.0748152502643108,"[6.39003948e-07 2.04684013e-02 1.82622558e-01 1.15287359e-02
 1.00000000e+00 1.00000000e+00 8.97694166e-08 1.00000000e+00
 1.27352011e-02 1.09548153e-01 1.21417393e-01]"
